Čína, Brazílie, Indonésie , Indie, USA, Malta		
rusko, kanada, USA, čína, brazílie		
Monako, San marino, Andora, Lichtenštejnsko		
Dánsko, Holandsko, USA, Kanada		
Určuješ kdo pije		
380	420	460
H		
O		
P		
A		
B		
D		
K		
B		
A		
Z		
R		
C		
O		
W		
Tichý, Atlanský, Indický, Jižní, Severní ledový		
1603	1608	1613
8748	8848	8948
Mt. Blank, Elbrus, Mt. Bianco		
Žváro		
Chufuova(Cheopsova), Rachefova, Velká pyramida v Cholule		
Korálové, Arabské, Čínské		
Určuješ kdo pije		
Grónsko, Madagaskar, Austrálie		
Městský Stát		
čokoláda		
Mcgregor		
Lobajnica		
Kyklop		
Špagety		
Chánov		
Diktátor		
Marihuana		
Ronaldo		
Mort		
Jenda z nejúspěšnějších českých her		
Souostroví		
Na severu bys být nechtěl		
Čingischán		
Ghándí		
Kebab		
Slovensko		
Sopky		
Asie, Afrika, Amerika, Antarktida, Evropa, Austrálie		
New York, Washington DC, San Francisco		
Abú Dabí, Dubai, Abú Zhabí		
Praha, Londýn, Windsor		
Hranická propast, Macocha		
Vltava, Morava, Labe		
Určuješ kdo pije		
Texas, Alijaška, Florida		
Andy, Himaláje, Alpy		
Německo, Izrael, Indie		
Nile, Congo, Niger		
1944, 1945,1946		
Piješ		
Smlouva: a) Spojenectví SSSR a německo	b) Spojenectví Osy zla	c) Atentát na Hittlera
AngliexFrancie, 	FranciexNěmecko,	 ČeskoxSlovensko
1911-1918,	1914-1918,	1913-1918
1937-1945,	1938-1945,	1939-1945
1.1.1991,	1.1.1992,	01.01.1993
13	15	17
13-14,	 14-15,	15-16
16	17	18
38	42	44 (před Kristem)
Vácalv III,	Karel IV	Karel I
1998	1999	2001
2002	2003	2004
8.9.1643	16.11.1524	6.7.1415
2001	2004	2007
2003	2005	2007
1972	1976	1979
Jan Ámos Komenský	Heinrich Himmler	Anton Zola
12	14	16
Španělsko, Německo, Itálie, Rusko, Japonsko, Rakousko		
43	45	47
4	5	6
180	200	230
Karel Got,	 Josef Kajetán Tyl, 	Karel Havlíček Borovský
Neil Armstrong, Jurij Gagarin, Alan Shepard		
Apollo 11, Apollo 13, Enterprise		
Neil Armstrong , Buzz Aldrin, Jurij Gagarin, Vladimír Remek		
6	7	8
Potopa, Sopka, Zemětřesení		
Karel IV, Vaclav III, Karel V		
Jan, Václav, Bořivoj		
1205	1212	1222
Výpravy za účelem rozšíření křesťanství po evropě	Křesťanské výpravy proti muslimům	
Alfred Nobel, Thomas Alva Edison, Jára Cimrman		
1877	1952	1977
1918	1922	1927
Romulus a Remus	Cyril a Metoděj	Hrušky a Dynamo
Spartakus	Julius	Remulus
Habsburkové, Přemyslovci, Lucemburkové		
Dolní věstonice	Macocha	Frenštát pod Radhoštěm
Faraon, Král, Císař		
Pohoří, Řeky, Souhvězdí		
Romulus a Remus	Cyril a Metoděj	Julius a Vénus
Svobodný občan bojující v aréně	Otrok odsouzený na smrt	Otrok cvičený k zápasům
250	300	350
Koloseum, Pula, Anfiteatro Flavio		
Piješ		
Trojský kůň, Tunel, Nedobili		
Jaderné Bomby, Drink, Zmrzlina		
Piješ		
150	180	210
p*d2	2pr	p*r2
p*d2	2pr	p*r2
vzdálenost/čas,     čas/vzdálenost,     čas/vzdálenost*5
Hustota=hmostnost/objem	Hustota=objem/hmostnost	Hustota=hmotnost/obsah
piješ		
8	10	12
1	10	100
1,52;	2,52;	3,52
Den, Měsíc, Rok		
Den netrvá 24 hodin	Kvůli pusobení gravitace Jupiteru	Protože se měsíc vzdaluje od země
512	1024	2048
Piješ		
0,1;	0,01;	0,001
10	12	14
piješ		
200	500	1000
Karel IV, Božena Němcová, František palacký		
16	18	20
27	36	18
20	30	40
120	130	140
MDCLIIII	MCDLIV	MDCLIV
Piješ		
3,14159	3,15149	3,51149
piješ		
Holandsko		
10	11	12
Plejtvák Obrovský, Vorvaň Obrovský, Plejtvák Myšok		
Kladívko, kovadlinko, Třmínek, Bubínek		
Korýš, Hlavonožec, Chapadlovití		
Ryba, Paryba, Savec		
28	30	32
Koka, Kata, Mitragina		
30-40,	50-60,	80-100
1-2,	3-5,	4-6
Jako úkryt pro bakterie	Je zbytečný	Obnovuje střevní mikroflóru
Piješ		
Sekvoj vždyzelená, Srmk Vysoký, Sekvojovec Obrovský		
Gepard, Antilopa, Delfín		
piješ		
Houser	Kačer	Husa
Sněženka, Petrklíč		
Želva, Had, Ryba		
Žralok, Komár, Hroch		
Výroba elektřiny pomocí solární energie	Výroba vzduchu	Vyvolávání filmu
Infekce symbiontů	Výhodné soužití více živočichů	Nevýhodné soužití více živočichů
Jeseter	Sumec	Kapr
Albatros stěhovavý, Orel Skalní, Sup Bělohlavý		
Ostře sledované vlaky, Kolja, Spalovač mrtvol, Lidice		
Piješ		
6	10	11
Piješ		
Bludný Holanďan, černá perla, Prokletí Oceánů		
Delorean, Superb, Shelby		
Rupert Grint,	Daniel Radcliff,	Tom Felton
Anežka,	Eliška,	Anička
T-500,	T-800,	T-1000
Piješ		
Metlobal	Famfrpál	Quidditch
Ufňukaná uršula	Umrnčaná Myrta	Myrta z umývárky
Forrest Gump	Vykoupení z věznice Shawshank	Zelená míle
Učitel	Archeolog	Spisovatel
Piješ		
Piješ		
Tyranousaurus Maximus	Idnominus Rex	Gigantus Rex
Herold	Harvy	Charles
Lupiči z New Yorku	Dlouhoprstí lupiči	Dlouhoprstí banditi
Piješ		
Jan železný	Andreas Thorkildsen	Julius Yego
David Pastrňák	Jaromír Jágr	Petr Medvěd
Sokol	Spartakiáda	TSM
Piješ		
Piješ		
Běh, plavání, cysklistika	Běžkování, střelba, lyžování	Třetina maratonu
Finsko	Norsko	Rusko
Titanic	Avatar	Rain Man
Alfred Pennyworth	Tomy Angelo	Jarvis
Mufasa	Scar	Sumafa
Mufasa	Scar	Sumafa
Piješ		
Balú	Ser Chán (šerchán)	Bagheera
Poručík John	Poručík Dan	Poručík Buba
GumpBuba	BubaGump	BubaDan
Optimus Prime	Šroubek	Ironhide
Megatron	Starscream	Devastator
Hannah a John	Rose a Jack	Merry a Jack
Skynet	Starlink	TP-Link
Harvey Black	Emet Brown	John MCFly
Harry McFly	Marty McFly	John Jones
Spasitel	Bručoun	Štístko
Piješ		
Piješ		
Neuminix	Tojehnus	Fujtajflus
4513	4305	4112
Piješ		
Piješ		
Jan Žižka 2022		
Kopr		
Papež		
Restt		
Alexader Veliký		
Miroslav Ristič		
Určuješ kdo pije		
Samuel "Pirát" Kryštofič		
Avatar		
Real Madrid		
Druh křemene    Druh Dřeva	Bodná zbraň	
Bronz	Měď	Cín
Mezopotámie a Fénicie	Persie a Fénicie	Řecko a Řím
Uctívání bohů	Faraonovo sídlo	Hrobky Faraonů
Nero	Attila	Hannibal
Istanbul	Milán	Ankara
Konflikt mezi Římany a Kartágem	Konflikt mezi Římany a galy	Konflikt mezi Křesťany a Muslimy
Otrok	Námořník	Římský občan bez šlechtického původu
Nejurozenější rodiny	Senát	Vojenští vůdci
Chamirapiho zákoník	Epos o Gilgamešovi	Bible
Před a po umrtí Krista	Starý a Nový zákon	Každý svatý má svoji část
Aladin		
Batman		
Pán prstenů		
Narnie		
Piješ		
Stmívání		
Auta		
Agent 007		
Upíří deníky		
Nemo		
Auta		
Příběh Hraček		
Upíří deníky		
Harry Potter		
Forest Gump		
Hra o Trůny		
Doba Ledová		
Nemo		
Piješ		
Piješ		
Stmívání		
Upíří deníky		
Piráti z Karibiku		
Piješ		
Shrek		
Harry Potter		
Forest Gump		
Pán prstenů		
Piráti z Karibiku		
Shrek		
Stmívání		
Hra o Trůny		
Aladin		
Upíří deníky		
Batman		
Archeolog		
Upíří deníky		
Shrek		
Prison Break		
Harry Potter		
Narnie		
Doba Ledová		
Zpátky do Budoucnosti		
Prison Break		
Příšerky s.r.o.		
Lví král		
Nemo		
Matrix		
Harry Potter		
Harry Potter		
Star Wars		
Harry Potter		
Vesničko má Středisková		
Harry Potter		
Lví král		
Upíří deníky		
Piješ		
Harry Potter		
Prison Break		
Lví král		
Doba Ledová		
Lví král		
Transformers		
Harry Potter		
Hra o Trůny		
Piráti z Karibiku		
Piješ		
Piješ		
Lví král		
Narnie		
Hra o Trůny		
Star Wars		
Piráti z Karibiku		
Příběh Hraček		
2015	2006	1997
Anglie,     Francie,        Nizozemí
Boston, Portland, New York
Harry Potter
Harry Potter
Harry Potter
Harry Potter
Péro z fénixe,  Blána z dračího srdce,   Žíně jednorožce
Testrála, Kentaura, Jednorožce
Ministerstvo Kouzel, Institut kouzel, Ministerstvo kouzelných tvorů a kouzelníků
Piješ
Libry, Zlatouny, Galeony
Piješ
Trunaj tří kouzelníků, Turnaj čtyř kouzelníků, Klání tří kouzelníků
Profesor lektvarů z 6. dílu Harryho Pottera
Napí se
Napí se
Zmrzlina
Marvolo/Rolvoj
